publication_date,effective_on,agencies,agency_names,title,abstract,action,type,president,dates,citation,document_number,regulation_id_numbers,json_url,raw_text_url,html_url,president_id,publication_dt,publication_year,publication_month,susp,actual_susp
3/12/2001,4/13/2001,"[{'raw_name': 'Social Security Administration', 'name': 'Social Security Administration', 'id': 470, 'url': 'https://www.federalregister.gov/agencies/social-security-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/470', 'parent_id': None, 'slug': 'social-security-administration'}]",Social Security Administration,Testimony by Employees and the Production of Records and Information in Legal Proceedings; Correction,"This document contains corrections to the final regulations which were published on January 12, 2001 (66 FR 2805). The regulations implement procedures governing testimony by SSA employees and the production of official records and information in legal proceedings to which SSA is not a party.",Correction to final regulations.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","April 13, 2001.",66 FR 14315,Jan-23,0960-AE95,https://www.federalregister.gov/api/v1/documents/01-5823?publication_date=2001-03-12,https://www.federalregister.gov/documents/full_text/text/2001/03/12/01-5823.txt,https://www.federalregister.gov/documents/2001/03/12/01-5823/testimony-by-employees-and-the-production-of-records-and-information-in-legal-proceedings-correction,george-w-bush,2001-03-12 00:00:00 UTC,2001,3,0,0
3/13/2001,3/13/2001,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53', 'parent_id': 227, 'slug': 'coast-guard'}]","Transportation Department, Coast Guard","Drawbridge Operation Regulations: Hackensack River, NJ","The Coast Guard is establishing a temporary final rule governing the operation of the Lincoln Highway Bridge, at mile 1.8, across the Hackensack River at Jersey City, New Jersey. This temporary final rule requires vessels to provide a one-hour daytime advance notice and a four-hour nighttime advance notice for bridge openings through May 7, 2001. This action is necessary to facilitate maintenance of the bridge.",Temporary final rule; withdrawal of notice of deviation.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","This temporary final rule is effective from March 13, 2001 through May 7, 2001.",66 FR 14487,Jan-18,2115-AE47,https://www.federalregister.gov/api/v1/documents/01-6218?publication_date=2001-03-13,https://www.federalregister.gov/documents/full_text/text/2001/03/13/01-6218.txt,https://www.federalregister.gov/documents/2001/03/13/01-6218/drawbridge-operation-regulations-hackensack-river-nj,george-w-bush,2001-03-13 00:00:00 UTC,2001,3,0,0
4/24/2001,4/25/2001,"[{'raw_name': 'DEPARTMENT OF THE TREASURY', 'name': 'Treasury Department', 'id': 497, 'url': 'https://www.federalregister.gov/agencies/treasury-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/497', 'parent_id': None, 'slug': 'treasury-department'}, {'raw_name': 'Customs Service', 'name': 'Customs Service', 'id': 96, 'url': 'https://www.federalregister.gov/agencies/customs-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/96', 'parent_id': 497, 'slug': 'customs-service'}]","Treasury Department, Customs Service",Foreign Repairs to American Vessels; Correction,"This document contains a correction to the final regulations (T.D. 01-24), which were published in the Federal Register on Monday, March 26, 2001. The regulations related to the requirements regarding the declaration, entry, assessment of duty and processing of petitions for relief from duty for vessels of the United States which undergo foreign shipyard operations.",Final rule; correction.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","April 25, 2001.",66 FR 20588,01-10163,1515-AC30,https://www.federalregister.gov/api/v1/documents/01-10163?publication_date=2001-04-24,https://www.federalregister.gov/documents/full_text/text/2001/04/24/01-10163.txt,https://www.federalregister.gov/documents/2001/04/24/01-10163/foreign-repairs-to-american-vessels-correction,george-w-bush,2001-04-24 00:00:00 UTC,2001,4,0,0
3/8/2001,,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Health Care Financing Administration', 'name': 'Health Care Finance Administration', 'id': 559, 'url': 'https://www.federalregister.gov/agencies/health-care-finance-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/559', 'parent_id': 221, 'slug': 'health-care-finance-administration'}]","Health and Human Services Department, Health Care Finance Administration",Medicare + Choice Program,,,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}",,66 FR 13854,C1-55504,,https://www.federalregister.gov/api/v1/documents/C1-55504?publication_date=2001-03-08,https://www.federalregister.gov/documents/full_text/text/2001/03/08/C1-55504.txt,https://www.federalregister.gov/documents/2001/03/08/C1-55504/medicare--choice-program,george-w-bush,2001-03-08 00:00:00 UTC,2001,3,0,0
4/30/2001,,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Agricultural Marketing Service', 'name': 'Agricultural Marketing Service', 'id': 9, 'url': 'https://www.federalregister.gov/agencies/agricultural-marketing-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/9', 'parent_id': 12, 'slug': 'agricultural-marketing-service'}]","Agriculture Department, Agricultural Marketing Service","Tart Cherries Grown in the States of Michigan, et al.; Suspension of Provisions Under the Federal Marketing Order for Tart Cherries","<RM>The Department of Agriculture (Department) is adopting, as a final rule, without change, the provisions of an interim final rule suspending indefinitely a portion of an order provision concerning the release of reserve cherries. The suspension continues to allow cherries held in inventory reserves to be released for exempt uses such as exports. The Cherry Industry Administrative Board (Board) recommended this action to allow reserve cherries to be used in outlets other than normal commercial outlets. The Board is responsible for local administration of the marketing order which regulates the handling of tart cherries grown in the production area.",<RM>Final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","<RM>May 30, 2001.",66 FR 21271,01-10661,,https://www.federalregister.gov/api/v1/documents/01-10661?publication_date=2001-04-30,https://www.federalregister.gov/documents/full_text/text/2001/04/30/01-10661.txt,https://www.federalregister.gov/documents/2001/04/30/01-10661/tart-cherries-grown-in-the-states-of-michigan-et-al-suspension-of-provisions-under-the-federal,george-w-bush,2001-04-30 00:00:00 UTC,2001,4,0,0
3/28/2001,1/1/2002,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","Health and Human Services Department, Food and Drug Administration",Beverages: Bottled Water,"The Food and Drug Administration (FDA) is amending its bottled water quality standard regulations by establishing allowable levels for three residual disinfectants (chloramine, chlorine, and chlorine dioxide) and three types of disinfection byproducts (DBP's) (bromate, chlorite, and haloacetic acids (HAA5)). FDA also is revising the existing allowable level for the DBP total trihalomethanes (TTHM). Finally, FDA is revising, for the three residual disinfectants and four types of DBP's only, the monitoring requirement for source water found in the current good manufacturing practice (CGMP) regulations for bottled water. As a consequence of FDA's amending the quality standard for these residual disinfectants and DBP's, bottled water manufacturers are required to monitor their finished bottled water products for these disinfectants and DBP's at least once each year under the CGMP regulations for bottled water. Bottled water manufacturers also are required to monitor for these contaminants at least once each year in their source water, unless the bottlers meet the criteria for source water monitoring exemptions under the CGMP regulations. This direct final rule will ensure that the minimum quality of bottled water, as affected by the previously mentioned disinfectants and DBP's, remains comparable with the quality of public drinking water that meets the Environmental Protection Agency's (EPA's) standards. FDA is issuing a direct final rule for this action because the agency expects that there will be no significant adverse comment on this rule. Elsewhere in this issue of the Federal Register, FDA is publishing a companion proposed rule under the agency's usual procedure for notice-and-comment rulemaking to provide a procedural framework to finalize the rule in the event the agency receives significant adverse comment and withdraws this direct final rule. The companion proposed rule and direct final rule are substantively identical.",Direct final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","This rule is effective January 1, 2002. Submit written comments by June 11, 2001. If FDA receives no significant adverse comments during the specified comment period, the agency will publish a document in the Federal Register no later than July 5, 2001, confirming the effective date of the direct final rule. If the agency receives any significant adverse comment during the comment period, FDA intends to withdraw this direct final rule by publication in the Federal Register no later than July 5, 2001. The Director of the Office of the Federal Register approves the incorporation by reference in accordance with 5 U.S.C. 552(a) and 1 CFR 51 of certain publications in Sec. 165.110(b)(4)(iii)(I) as of January 1, 2002.",66 FR 16858,Jan-61,,https://www.federalregister.gov/api/v1/documents/01-7561?publication_date=2001-03-28,https://www.federalregister.gov/documents/full_text/text/2001/03/28/01-7561.txt,https://www.federalregister.gov/documents/2001/03/28/01-7561/beverages-bottled-water,george-w-bush,2001-03-28 00:00:00 UTC,2001,3,0,0
2/15/2001,3/1/2001,"[{'raw_name': 'PENSION BENEFIT GUARANTY CORPORATION', 'name': 'Pension Benefit Guaranty Corporation', 'id': 405, 'url': 'https://www.federalregister.gov/agencies/pension-benefit-guaranty-corporation', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/405', 'parent_id': None, 'slug': 'pension-benefit-guaranty-corporation'}]",Pension Benefit Guaranty Corporation,Benefits Payable in Terminated Single-Employer Plans; Allocation of Assets in Single-Employer Plans; Interest Assumptions for Valuing and Paying Benefits,The Pension Benefit Guaranty Corporation's regulations on Benefits Payable in Terminated Single-Employer Plans and Allocation of Assets in Single-Employer Plans prescribe interest assumptions for valuing and paying benefits under terminating single-employer plans. This final rule amends the regulations to adopt interest assumptions for plans with valuation dates in March 2001. Interest assumptions are also published on the PBGC's web site (http://www.pbgc.gov).,Final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","March 1, 2001.",66 FR 10365,Jan-81,,https://www.federalregister.gov/api/v1/documents/01-3881?publication_date=2001-02-15,https://www.federalregister.gov/documents/full_text/text/2001/02/15/01-3881.txt,https://www.federalregister.gov/documents/2001/02/15/01-3881/benefits-payable-in-terminated-single-employer-plans-allocation-of-assets-in-single-employer-plans,george-w-bush,2001-02-15 00:00:00 UTC,2001,2,0,0
4/23/2001,5/23/2001,"[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]",Housing and Urban Development Department,Equal Employment Opportunity; Updating of EEO Policies and Procedures,"This final rule amends HUD's regulations governing the Department's equal employment opportunity policies, procedures and programs. The amendments update the Department's current EEO regulations and make them consistent with recently issued regulations of the Equal Employment Opportunity Commission (EEOC). The final rule follows publication of an October 26, 2000 proposed rule, and takes into consideration the public comment received on the proposed rule.",Final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","Effective Date: May 23, 2001.",66 FR 20564,Jan-89,2501-AC73,https://www.federalregister.gov/api/v1/documents/01-9889?publication_date=2001-04-23,https://www.federalregister.gov/documents/full_text/text/2001/04/23/01-9889.txt,https://www.federalregister.gov/documents/2001/04/23/01-9889/equal-employment-opportunity-updating-of-eeo-policies-and-procedures,george-w-bush,2001-04-23 00:00:00 UTC,2001,4,0,0
3/1/2001,5/10/2001,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",Environmental Protection Agency,"Acid Rain Program-Permits Rule Revision, Industrial Utility-Units Exemption","The Environmental Protection Agency (EPA) is taking direct final action to remove the provision for the industrial utility-units exemption in the regulations for the Acid Rain Program under title IV of the Clean Air Act (Act). The purpose of the Acid Rain Program is to significantly reduce emissions of sulfur dioxide and nitrogen oxides from utility electric generating plants in order to reduce the adverse health and ecological effects of acidic deposition (or acid rain) resulting from these emissions. In January 1993, EPA issued rules implementing the program, including the permits rule. In October 1997, EPA revised the permits rule in order to add, among other things, a provision establishing a limited exemption from the program for certain industrial boilers (referred to as ``industrial utility-units''). One party filed a petition for review challenging the industrial utility- units exemption. On August 23, 2000, EPA and the petitioning party signed a settlement agreement addressing the exemption provision. Today, EPA is removing the industrial utility-units exemption based on a review of the record. This action is consistent with the August 23, 2000 settlement.",Direct final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","This rule is effective on May 10, 2001 without further notice, unless EPA receives adverse comment by April 16, 2001. If we receive such adverse comment, we will publish a timely withdrawal in the Federal Register informing the public that this rule will not take effect.",66 FR 12973,01-721,,https://www.federalregister.gov/api/v1/documents/01-721?publication_date=2001-03-01,https://www.federalregister.gov/documents/full_text/text/2001/03/01/01-721.txt,https://www.federalregister.gov/documents/2001/03/01/01-721/acid-rain-program-permits-rule-revision-industrial-utility-units-exemption,george-w-bush,2001-03-01 00:00:00 UTC,2001,3,0,0
3/6/2001,4/5/2001,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Agricultural Marketing Service', 'name': 'Agricultural Marketing Service', 'id': 9, 'url': 'https://www.federalregister.gov/agencies/agricultural-marketing-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/9', 'parent_id': 12, 'slug': 'agricultural-marketing-service'}]","Agriculture Department, Agricultural Marketing Service",Watermelon Research and Promotion Plan; Redistricting and Adding Two Importer Members to the National Watermelon Promotion Board,"This final rule changes the boundaries of all seven districts under the Watermelon Research and Promotion Plan (Plan) to apportion producer and handler membership on the National Watermelon Promotion Board (Board). This will make all districts equal according to the assessments collected in each district. Pursuant to the provisions of the Plan and regulations, this rule will also add two importer members to the Board to ensure that representation of importers is proportionate to the percentage of assessments importers pay to the Board. These changes are based on a review of the production and assessments paid in each district and the amount of watermelon import assessments, which the Plan requires at least every five years.",Final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","April 5, 2001.",66 FR 13400,Jan-19,,https://www.federalregister.gov/api/v1/documents/01-5419?publication_date=2001-03-06,https://www.federalregister.gov/documents/full_text/text/2001/03/06/01-5419.txt,https://www.federalregister.gov/documents/2001/03/06/01-5419/watermelon-research-and-promotion-plan-redistricting-and-adding-two-importer-members-to-the-national,george-w-bush,2001-03-06 00:00:00 UTC,2001,3,0,0
