publication_date,effective_on,agencies,agency_names,title,abstract,action,type,president,dates,citation,document_number,regulation_id_numbers,json_url,raw_text_url,html_url,president_id,publication_dt,publication_year,publication_month,susp,actual_susp
2001-03-05,2001-03-31,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Coast Guard', 'name': 'Coast Guard', 'id': 53, 'url': 'https://www.federalregister.gov/agencies/coast-guard', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/53', 'parent_id': 227, 'slug': 'coast-guard'}]","Transportation Department, Coast Guard","Special Local Regulations for Marine Events; Approaches to Annapolis Harbor, Spa Creek, and Severn River, Annapolis, Maryland","The Coast Guard is implementing the special local regulations for the 22nd Annual Safety at Sea Seminar, a marine event to be held March 31, 2001, on the waters of Spa Creek and Severn River at Annapolis, Maryland. These special local regulations are necessary to control vessel traffic due to the confined nature of the waterway and expected vessel congestion during the event. The effect will be to restrict general navigation in the regulated area for the safety of spectators and vessels transiting the event area.",Notice of implementation.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","33 CFR 100.511 is effective from 11:30 a.m. to 3 p.m. on March 31, 2001.",66 FR 13238,01-5267,2115-AE46,https://www.federalregister.gov/api/v1/documents/01-5267?publication_date=2001-03-05,https://www.federalregister.gov/documents/full_text/text/2001/03/05/01-5267.txt,https://www.federalregister.gov/documents/2001/03/05/01-5267/special-local-regulations-for-marine-events-approaches-to-annapolis-harbor-spa-creek-and-severn,george-w-bush,2001-03-05 00:00:00 UTC,2001,3,0,0
2001-03-06,,"[{'raw_name': 'DEPARTMENT OF THE TREASURY', 'name': 'Treasury Department', 'id': 497, 'url': 'https://www.federalregister.gov/agencies/treasury-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/497', 'parent_id': None, 'slug': 'treasury-department'}, {'raw_name': 'Internal Revenue Service', 'name': 'Internal Revenue Service', 'id': 254, 'url': 'https://www.federalregister.gov/agencies/internal-revenue-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/254', 'parent_id': 497, 'slug': 'internal-revenue-service'}]","Treasury Department, Internal Revenue Service",Grouping Rules for Foreign Sales Corporation Transfer Pricing,This document contains final regulations and amendments to temporary regulations that provide guidance to taxpayers that have made an election to be treated as a foreign sales corporation (FSC). These regulations permit the grouping of transactions for purposes of applying the administrative pricing (including marginal costing) rules to determine FSC transfer prices and provide a time for filing for the election to group transactions.,Final regulations and removal of temporary regulations.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}",,66 FR 13427,01-5428,1545-AX41,https://www.federalregister.gov/api/v1/documents/01-5428?publication_date=2001-03-06,https://www.federalregister.gov/documents/full_text/text/2001/03/06/01-5428.txt,https://www.federalregister.gov/documents/2001/03/06/01-5428/grouping-rules-for-foreign-sales-corporation-transfer-pricing,george-w-bush,2001-03-06 00:00:00 UTC,2001,3,0,0
2001-04-12,2004-05-12,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Aviation Administration', 'name': 'Federal Aviation Administration', 'id': 159, 'url': 'https://www.federalregister.gov/agencies/federal-aviation-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/159', 'parent_id': 492, 'slug': 'federal-aviation-administration'}]","Transportation Department, Federal Aviation Administration",Emergency Medical Equipment,"This action responds to the Aviation Medical Assistance Act of 1998 by requiring that air carrier operators carry automated external defibrillators on large, passenger-carrying aircraft and augment currently required emergency medical kits. It affects those air carrier operations for which at least one flight attendant is required and includes provisions designed to provide the option of treatment of serious medical events during flight time.",Final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","Effective May 12, 2004.",66 FR 19027,01-8932,2120-AG89,https://www.federalregister.gov/api/v1/documents/01-8932?publication_date=2001-04-12,https://www.federalregister.gov/documents/full_text/text/2001/04/12/01-8932.txt,https://www.federalregister.gov/documents/2001/04/12/01-8932/emergency-medical-equipment,george-w-bush,2001-04-12 00:00:00 UTC,2001,4,0,0
2001-03-02,,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Highway Administration', 'name': 'Federal Highway Administration', 'id': 170, 'url': 'https://www.federalregister.gov/agencies/federal-highway-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/170', 'parent_id': 492, 'slug': 'federal-highway-administration'}]","Transportation Department, Federal Highway Administration","Truck Size and Weight, Route Designations-Length, Width and Weight Limitations",,,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}",,66 FR 13012,C1-55503,,https://www.federalregister.gov/api/v1/documents/C1-55503?publication_date=2001-03-02,https://www.federalregister.gov/documents/full_text/text/2001/03/02/C1-55503.txt,https://www.federalregister.gov/documents/2001/03/02/C1-55503/truck-size-and-weight-route-designations-length-width-and-weight-limitations,george-w-bush,2001-03-02 00:00:00 UTC,2001,3,0,0
2001-04-20,2000-06-13,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Animal and Plant Health Inspection Service', 'name': 'Animal and Plant Health Inspection Service', 'id': 22, 'url': 'https://www.federalregister.gov/agencies/animal-and-plant-health-inspection-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/22', 'parent_id': 12, 'slug': 'animal-and-plant-health-inspection-service'}]","Agriculture Department, Animal and Plant Health Inspection Service",Pine Shoot Beetle; Addition to Quarantined Areas,"We are adopting as a final rule, without change, an interim rule that amended the pine shoot beetle regulations by adding 28 counties in Illinois, Indiana, Michigan, New Hampshire, New York, Pennsylvania, Vermont, West Virginia, and Wisconsin to the list of quarantined areas. As a result of that action, the interstate movement of regulated articles from those areas is restricted. The interim rule was necessary to prevent the spread of the pine shoot beetle, a pest of pine products, into noninfested areas of the United States.",Affirmation of interim rule as final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The interim rule became effective on June 13, 2000.",66 FR 20185,01-9791,,https://www.federalregister.gov/api/v1/documents/01-9791?publication_date=2001-04-20,https://www.federalregister.gov/documents/full_text/text/2001/04/20/01-9791.txt,https://www.federalregister.gov/documents/2001/04/20/01-9791/pine-shoot-beetle-addition-to-quarantined-areas,george-w-bush,2001-04-20 00:00:00 UTC,2001,4,0,0
2001-03-21,2001-04-20,"[{'raw_name': 'DEPARTMENT OF DEFENSE', 'name': 'Defense Department', 'id': 103, 'url': 'https://www.federalregister.gov/agencies/defense-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/103', 'parent_id': None, 'slug': 'defense-department'}, {'raw_name': 'Department of the Army, Corps of Engineers', 'name': 'Engineers Corps', 'id': 142, 'url': 'https://www.federalregister.gov/agencies/engineers-corps', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/142', 'parent_id': 103, 'slug': 'engineers-corps'}]","Defense Department, Engineers Corps","United States Marine Corps Restricted Area, New River, North Carolina, and Vicinity","The Corps of Engineers is amending the regulations which established restricted areas in the waters of New River, North Carolina, and vicinity to include restricted areas for United States Marine Corps Waterborne Refueling Training Operation in the Morgan Bay Sector, Farnell Bay Sector, and Grey Point Sector. Refueling operations will occur approximately fourteen times a year. Small craft will be refueled with unleaded gasoline or diesel fuel from a tactical bulk refueling system loaded onto a floating platform or vessel. The purpose is for the Marine Corps to gain proficiency in refueling operations and associated activities in riverine environments. The restricted area previously served as a firing range; but there were not provisions for refueling operations. The changes to the regulation are necessary to safeguard Marine Corps vessels, ribbon bridges, and United States Government facilities from sabotage and other subversive acts, accidents, or other incidents of similar nature. These changes are also necessary to protect the public from potentially hazardous conditions which may exist as a result of the Marine Corps use of the area.",Final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","April 20, 2001.",66 FR 15799,01-7043,,https://www.federalregister.gov/api/v1/documents/01-7043?publication_date=2001-03-21,https://www.federalregister.gov/documents/full_text/text/2001/03/21/01-7043.txt,https://www.federalregister.gov/documents/2001/03/21/01-7043/united-states-marine-corps-restricted-area-new-river-north-carolina-and-vicinity,george-w-bush,2001-03-21 00:00:00 UTC,2001,3,0,0
2001-02-09,2001-02-05,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Transit Administration', 'name': 'Federal Transit Administration', 'id': 193, 'url': 'https://www.federalregister.gov/agencies/federal-transit-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/193', 'parent_id': 492, 'slug': 'federal-transit-administration'}]","Transportation Department, Federal Transit Administration",Major Capital Investment Projects; Partial Stay,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily stays 49 CFR part 611, Major Capital Investment Projects, which was published in the Federal Register on December 7, 2000, at 65 FR 76864, with an effective date of February 5, 2001. That rule describes the procedures that FTA will use in the New Starts project evaluation and rating process. This temporary stay will allow the Department an opportunity for further consideration of this rule.",Final rule; partial stay of effectiveness.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","Effective February 5, 2001, 49 CFR part 611 is stayed until April 6, 2001, except for paragraphs (a)(1)(i)-(ii) and (d) of Appendix A to Part 611, which will become effective September 1, 2001.",66 FR 9677,01-3207,2132-AA63,https://www.federalregister.gov/api/v1/documents/01-3207?publication_date=2001-02-09,https://www.federalregister.gov/documents/full_text/text/2001/02/09/01-3207.txt,https://www.federalregister.gov/documents/2001/02/09/01-3207/major-capital-investment-projects-partial-stay,george-w-bush,2001-02-09 00:00:00 UTC,2001,2,0,1
2001-04-11,2001-05-16,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Aviation Administration', 'name': 'Federal Aviation Administration', 'id': 159, 'url': 'https://www.federalregister.gov/agencies/federal-aviation-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/159', 'parent_id': 492, 'slug': 'federal-aviation-administration'}]","Transportation Department, Federal Aviation Administration",Airworthiness Directives; Fokker Model F.28 Mark 0070 and Mark 0100 Series Airplanes,"This amendment supersedes an existing airworthiness directive (AD), applicable to all Fokker Model F.28 Mark 0070 and Mark 0100 series airplanes, that currently requires revising the Airplane Flight Manual (AFM) to provide the flightcrew with instructions not to arm the liftdumper system prior to commanding the landing gear to extend. For Model F.28 Mark 0100 series airplanes, the existing AD also requires modification of the grounds of the shielding of the wheelspeed sensor wiring of the main landing gear (MLG) and installation of new electrical grounds for the wheelspeed sensor channel of the anti-skid control box of the MLG. This amendment removes the previous revision of the AFM and requires a new limitation and a new warning. This amendment is prompted by issuance of mandatory continuing airworthiness information by a foreign civil airworthiness authority. The actions specified by this AD are intended to prevent inadvertent deployment of the liftdumpers during approach for landing or reduced brake pressure during low speed taxiing, and consequent reduced controllability and performance of the airplane.",Final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","Effective May 16, 2001.",66 FR 18721,01-8614,2120-AA64,https://www.federalregister.gov/api/v1/documents/01-8614?publication_date=2001-04-11,https://www.federalregister.gov/documents/full_text/text/2001/04/11/01-8614.txt,https://www.federalregister.gov/documents/2001/04/11/01-8614/airworthiness-directives-fokker-model-f28-mark-0070-and-mark-0100-series-airplanes,george-w-bush,2001-04-11 00:00:00 UTC,2001,4,0,0
2001-02-22,2001-02-18,"[{'raw_name': 'DEPARTMENT OF COMMERCE', 'name': 'Commerce Department', 'id': 54, 'url': 'https://www.federalregister.gov/agencies/commerce-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/54', 'parent_id': None, 'slug': 'commerce-department'}, {'raw_name': 'National Oceanic and Atmospheric Administration', 'name': 'National Oceanic and Atmospheric Administration', 'id': 361, 'url': 'https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/361', 'parent_id': 54, 'slug': 'national-oceanic-and-atmospheric-administration'}]","Commerce Department, National Oceanic and Atmospheric Administration",Fisheries of the Exclusive Economic Zone Off Alaska; Groundfish by Vessels Using Non-pelagic Trawl Gear in the Red King Crab Savings Subarea,NMFS is closing directed fishing for groundfish with non- pelagic trawl gear in the red king crab savings subarea (RKCSS) of the Bering Sea and Aleutian Islands management area (BSAI). This action is necessary to prevent exceeding the amount of the 2001 red king crab bycatch limit specified for the RKCSS.,Closure.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","Effective 1200 hrs, Alaska local time (A.l.t.), February 18, 2001, until until 2400 hrs, A.l.t., December 31, 2001.",66 FR 11123,01-4411,,https://www.federalregister.gov/api/v1/documents/01-4411?publication_date=2001-02-22,https://www.federalregister.gov/documents/full_text/text/2001/02/22/01-4411.txt,https://www.federalregister.gov/documents/2001/02/22/01-4411/fisheries-of-the-exclusive-economic-zone-off-alaska-groundfish-by-vessels-using-non-pelagic-trawl,george-w-bush,2001-02-22 00:00:00 UTC,2001,2,0,0
2001-02-27,,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'National Highway Traffic Safety Administration', 'name': 'National Highway Traffic Safety Administration', 'id': 345, 'url': 'https://www.federalregister.gov/agencies/national-highway-traffic-safety-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/345', 'parent_id': 492, 'slug': 'national-highway-traffic-safety-administration'}]","Transportation Department, National Highway Traffic Safety Administration",Exemption From the Make Inoperative Prohibition,"NHTSA is taking action to facilitate the modification of motor vehicles so that persons with disabilities can drive or ride in them. The agency is accomplishing this by issuing a limited exemption from a statutory provision that prohibits specified types of commercial entities from either removing safety equipment or features installed on motor vehicles pursuant to the Federal motor vehicle safety standards or altering the equipment or features so as to adversely affect their performance. The exemption is limited in that it allows repair businesses to modify only certain types of Federally-required safety equipment and features, under specified circumstances.",Final rule.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}",,66 FR 12637,01-4655,2127-AG40,https://www.federalregister.gov/api/v1/documents/01-4655?publication_date=2001-02-27,https://www.federalregister.gov/documents/full_text/text/2001/02/27/01-4655.txt,https://www.federalregister.gov/documents/2001/02/27/01-4655/exemption-from-the-make-inoperative-prohibition,george-w-bush,2001-02-27 00:00:00 UTC,2001,2,0,0
