publication_date,effective_on,agencies,agency_names,title,abstract,action,type,president,dates,citation,document_number,regulation_id_numbers,json_url,raw_text_url,html_url,president_id,publication_dt,publication_year,publication_month,susp,actual_susp
2001-01-30,2001-02-20,"[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]",Housing and Urban Development Department,Determining Adjusted Income in HUD Programs Serving Persons With Disabilities: Requiring Mandatory Deductions for Certain Expenses; and Disallowance for Earned Income; Delay of Effective Date,"This document advises the public that the final rule published on January 19, 2001, which amends HUD's regulations in part 5, subpart F, to include additional HUD programs in the list of programs that must make certain deductions in calculating a family's adjusted income, will take effect on April 20, 2001. As provided in the ``Supplementary Information'' section of this final rule, this delay in the effective date is made in response to a White House memorandum of January 20, 2001. Given the imminence of the effective date of this rule, seeking prior public comment in accordance with HUD's regulations on rulemaking would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the final rule amending 24 CFR parts 5, 92, 200, 236, 574, 582, 583, 891, and 982, published at 66 FR 6218 (January 19, 2001) is delayed from February 20, 2001 until April 20, 2001.",66 FR 8174,01-2563,2501-AC72,https://www.federalregister.gov/api/v1/documents/01-2563?publication_date=2001-01-30,https://www.federalregister.gov/documents/full_text/text/2001/01/30/01-2563.txt,https://www.federalregister.gov/documents/2001/01/30/01-2563/determining-adjusted-income-in-hud-programs-serving-persons-with-disabilities-requiring-mandatory,george-w-bush,2001-01-30 00:00:00 UTC,2001,1,1,1
2001-02-02,2001-01-04,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Health Care Financing Administration', 'name': 'Health Care Finance Administration', 'id': 559, 'url': 'https://www.federalregister.gov/agencies/health-care-finance-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/559', 'parent_id': 221, 'slug': 'health-care-finance-administration'}]","Health and Human Services Department, Health Care Finance Administration",Medicare and Medicaid Programs; Physicians' Referrals to Health Care Entities With Which They Have Financial Relationships: Delay of Effective Date of Final Rule and Technical Amendment,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of revised Sec. 424.22 contained in the rule entitled ``Medicare and Medicaid Programs; Physicians' Referrals to Health Care Entities With Which They Have Financial Relationships,'' published in the Federal Register on January 4, 2001 (66 FR 856). That rule prohibits physicians from referring patients for the furnishing of certain designated health services to health care entities with which they (or their immediate family members) have financial relationships under the Medicare and Medicaid programs. Home health services are a designated health service. Section 424.22 revises the physician certification and plan of treatment requirements for home health services to comply with provisions in section 1877 of the Social Security Act (the Act). Section 424.22, which would have become effective February 5, 2001, will now become effective April 6, 2001. The 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001.",Delay of effective date of final rule and technical amendment.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the revision to paragraph (d) and the removal of paragraphs (e), (f), and (g) in Sec. 424.22 of the final rule entitled ``Physicians'' Referrals to Health Care Entities With Which They Have Financial Relationships,'' published in the Federal Register on January 4, 2001 (66 FR 856), is delayed for 60 days, from February 5, 2001 to a new effective date of April 6, 2001.",66 FR 8771,01-2937,,https://www.federalregister.gov/api/v1/documents/01-2937?publication_date=2001-02-02,https://www.federalregister.gov/documents/full_text/text/2001/02/02/01-2937.txt,https://www.federalregister.gov/documents/2001/02/02/01-2937/medicare-and-medicaid-programs-physicians-referrals-to-health-care-entities-with-which-they-have,george-w-bush,2001-02-02 00:00:00 UTC,2001,2,1,1
2001-04-23,2001-01-22,"[{'raw_name': 'SMALL BUSINESS ADMINISTRATION', 'name': 'Small Business Administration', 'id': 468, 'url': 'https://www.federalregister.gov/agencies/small-business-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/468', 'parent_id': None, 'slug': 'small-business-administration'}]",Small Business Administration,New Markets Venture Capital Program,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action delays for an additional 60 days the effective date of the rule entitled New Markets Venture Capital Program published in the Federal Register on January 22, 2001, 66 FR 7218. The effective date of the final rule was delayed once before, from February 21, 2001 to April 23, 2001, 66 FR 10811 (February 20, 2001). In order to give the Administration further opportunity to consider new regulations and to conduct a rulemaking, this additional delay is necessary. The New Markets Venture Capital Program final rule adds a new Part 108 to implement the New Markets Venture Capital Program Act of 2000 (``the Act''). The Act authorizes SBA to issue regulations necessary to implement the program. The regulations set forth the requirements for newly-formed venture capital companies to: qualify to become New Markets Venture Capital (``NMVC'') companies; to make developmental venture capital investments in smaller enterprises located in low- income geographic areas; provide operational assistance to enterprises receiving such investments; and allow existing Specialized Small Business Investment Companies to qualify for grants to provide operational assistance to smaller enterprises located in low-income geographic areas. To the extent that 5 U.S.C. 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. 553(b)(A). Alternatively, the Agency's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b)(B) and 553(d)(3), in that seeking public comment is impracticable, unnecessary and contrary to the public interest. The 60-day delay in effective date is necessary to give Agency officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the New Markets Venture Capital Program rule published in the Federal Register on January 22, 2001, at 66 FR 7218, is delayed for another 60 days, from April 23, 2001, to a new effective date of June 22, 2001.",66 FR 20530,01-9838,3245-AE40,https://www.federalregister.gov/api/v1/documents/01-9838?publication_date=2001-04-23,https://www.federalregister.gov/documents/full_text/text/2001/04/23/01-9838.txt,https://www.federalregister.gov/documents/2001/04/23/01-9838/new-markets-venture-capital-program,george-w-bush,2001-04-23 00:00:00 UTC,2001,4,1,1
2001-02-08,2000-09-27,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'National Highway Traffic Safety Administration', 'name': 'National Highway Traffic Safety Administration', 'id': 345, 'url': 'https://www.federalregister.gov/agencies/national-highway-traffic-safety-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/345', 'parent_id': 492, 'slug': 'national-highway-traffic-safety-administration'}]","Transportation Department, National Highway Traffic Safety Administration",Federal Motor Vehicle Safety Standards; Electric-Powered Vehicles: Electrolyte Spillage and Electrical Shock Protection: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, at 66 FR 7702, this action temporarily delays for 60 days the effective date of the rule entitled ``Federal Motor Vehicle Safety Standards; Electric-Powered Vehicles: Electrolyte Spillage and Electrical Shock Protection,'' published in the Federal Register on September 27, 2000, at 65 FR 57980. That rule established a new Federal motor vehicle safety standard (FMVSS) No. 305, ``Electric-powered vehicles: electrolyte spillage and electrical shock protection'' addressing safety issues exclusive to electric vehicles (EVs). Except as noted in the next sentence, the standard applies to all EVs that have a propulsion power source greater than 48 volts and a Gross Vehicle Weight Rating of 4536 kg (10,000 lbs) or less. The standard does not apply to EVs to which FMVSS No. 500, ``Low-Speed Vehicles,'' applies.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the ``Federal Motor Vehicle Safety Standards; Electric-Powered Vehicles: Electrolyte Spillage and Electrical Shock Protection,'' published in the Federal Register on September 27, 2000, at 65 FR 57980, is delayed for 60 days, from October 1, 2001, to a new effective date of December 1, 2001.",66 FR 9533,01-3213,2127-AF43,https://www.federalregister.gov/api/v1/documents/01-3213?publication_date=2001-02-08,https://www.federalregister.gov/documents/full_text/text/2001/02/08/01-3213.txt,https://www.federalregister.gov/documents/2001/02/08/01-3213/federal-motor-vehicle-safety-standards-electric-powered-vehicles-electrolyte-spillage-and-electrical,george-w-bush,2001-02-08 00:00:00 UTC,2001,2,1,1
2001-02-16,2001-01-17,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",Environmental Protection Agency,RIN 2025-AA05,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001 (66 FR 7701), this action temporarily delays for 60 days the effective date of the rule entitled Lead and Lead Compounds; Lowering of Reporting Thresholds; Community Right-to-Know Toxic Chemical Release Reporting, published in the Federal Register on January 17, 2001 (66 FR 4500). That rule concerns the lowering of the reporting thresholds for lead and lead compounds which are subject to reporting under section 313 of the Emergency Planning and Community Right-to-Know Act of 1986 (EPCRA) and section 6607 of the Pollution Prevention Act of 1990 (PPA). The reporting thresholds are being lowered to 100 pounds. The lower reporting thresholds apply to lead and all lead compounds except for lead contained in stainless steel, brass, and bronze alloys. The first reports at the lower thresholds are due on or before July 1, 2002, for the 2001 calendar year.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Lead and Lead Compounds; Lowering of Reporting Thresholds; Community Right-to-Know Toxic Chemical Release Reporting, amending 40 CFR part 372 published in the Federal Register on January 17, 2001, at 66 FR 4500, is delayed for 60 days, from February 16, 2001 to a new effective date of April 17, 2001.",66 FR 10585,01-3984,2025-AA05,https://www.federalregister.gov/api/v1/documents/01-3984?publication_date=2001-02-16,https://www.federalregister.gov/documents/full_text/text/2001/02/16/01-3984.txt,https://www.federalregister.gov/documents/2001/02/16/01-3984/rin-2025-aa05,george-w-bush,2001-02-16 00:00:00 UTC,2001,2,1,1
2001-02-02,2001-01-11,"[{'raw_name': 'DEPARTMENT OF ENERGY', 'name': 'Energy Department', 'id': 136, 'url': 'https://www.federalregister.gov/agencies/energy-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/136', 'parent_id': None, 'slug': 'energy-department'}, {'raw_name': 'Office of Energy Efficiency and Renewable Energy', 'name': 'Energy Efficiency and Renewable Energy Office', 'id': 137, 'url': 'https://www.federalregister.gov/agencies/energy-efficiency-and-renewable-energy-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/137', 'parent_id': 136, 'slug': 'energy-efficiency-and-renewable-energy-office'}]","Energy Department, Energy Efficiency and Renewable Energy Office",Alternate Fuel Transportation Program; Biodiesel Fuel Use Credit,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001 (66 FR 7702), this action temporarily delays for 60 days the effective date of the rule entitled ``Alternate Fuel Transportation Program; Biodiesel Fuel Use Credit'' published in the Federal Register on January 11, 2001 (66 FR 2207).",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the rule amending 10 CFR part 490 published in the Federal Register at 66 FR 2207, January 11, 2001 is delayed for 60 days, from February 12, 2001, until April 13, 2001.",66 FR 8746,01-2888,1904-AB00,https://www.federalregister.gov/api/v1/documents/01-2888?publication_date=2001-02-02,https://www.federalregister.gov/documents/full_text/text/2001/02/02/01-2888.txt,https://www.federalregister.gov/documents/2001/02/02/01-2888/alternate-fuel-transportation-program-biodiesel-fuel-use-credit,george-w-bush,2001-02-02 00:00:00 UTC,2001,2,1,1
2001-02-09,2001-01-16,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",Environmental Protection Agency,"Environmental Program Grants for Tribes, Final Rule: Delay of Effective Date","In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Environmental Program Grants for Tribes, published in the Federal Register on January 16, 2001, 66 FR 3781. This rule concerns several Environmental Protection Agency (EPA) grant programs for Indian Tribes and Intertribal Consortia. It creates a new Tribal-specific subpart which contains only the provisions for environmental program grants that apply to Tribes and addresses the Performance Partnership Grant program for Tribes.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Environmental Program Grants for Tribes regulation amending 40 CFR parts 31 and 35 published in the Federal Register on January 16, 2001, at 66 FR 3781, is delayed for 60 days, from February 15, 2001, to a new effective date of April 17, 2001.",66 FR 9661,01-3380,2030 AA56,https://www.federalregister.gov/api/v1/documents/01-3380?publication_date=2001-02-09,https://www.federalregister.gov/documents/full_text/text/2001/02/09/01-3380.txt,https://www.federalregister.gov/documents/2001/02/09/01-3380/environmental-program-grants-for-tribes-final-rule-delay-of-effective-date,george-w-bush,2001-02-09 00:00:00 UTC,2001,2,1,1
2001-02-05,2001-01-12,"[{'raw_name': 'DEPARTMENT OF AGRICULTURE', 'name': 'Agriculture Department', 'id': 12, 'url': 'https://www.federalregister.gov/agencies/agriculture-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/12', 'parent_id': None, 'slug': 'agriculture-department'}, {'raw_name': 'Food and Nutrition Service', 'name': 'Food and Nutrition Service', 'id': 200, 'url': 'https://www.federalregister.gov/agencies/food-and-nutrition-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/200', 'parent_id': 12, 'slug': 'food-and-nutrition-service'}]","Agriculture Department, Food and Nutrition Service",Food Stamp Program: Revisions to the Retail Food Store Definition and Program Authorization Guidance: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Food Stamp Program: Food Revisions to the Retail Food Store Definition and Program Authorization Guidance, published in the Federal Register on January 12, 2001, 66 FR 2795. The rule implements provisions of the Food Stamp Progam Improvements Act of 1994 to revise the criteria for eligibility of firms to participate in the Food Stamp Program as retail food stores, and to provide for notification to such firms of eligibility criteria for participation in the Food Stamp Program. To the extent that 5 U.S.C. section 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. section 553(b)(A). Alternatively the Department's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b)(B) and 553(d)(3). Seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. The imminence of the effective date is also good cause for making this rule effective immediately upon publication.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Food Stamp Program: Food Stamp Program: Revisions to the Retail Food Store Definition and Program Authorization Guidance, published in the Federal Register on January 12, 2001, at 66 FR 2795, is delayed for 60 days, from February 12, 2001, to a new effective date of April 13, 2001.",66 FR 8885,01-2863,0584-AB90,https://www.federalregister.gov/api/v1/documents/01-2863?publication_date=2001-02-05,https://www.federalregister.gov/documents/full_text/text/2001/02/05/01-2863.txt,https://www.federalregister.gov/documents/2001/02/05/01-2863/food-stamp-program-revisions-to-the-retail-food-store-definition-and-program-authorization-guidance,george-w-bush,2001-02-05 00:00:00 UTC,2001,2,1,1
2001-02-08,2001-01-10,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Aviation Administration', 'name': 'Federal Aviation Administration', 'id': 159, 'url': 'https://www.federalregister.gov/agencies/federal-aviation-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/159', 'parent_id': 492, 'slug': 'federal-aviation-administration'}]","Transportation Department, Federal Aviation Administration",Civil Penalty Actions in Commercial Space Transportation: Delay of Effective Date,"In accordance with a memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of a rule entitled Civil Penalty Actions in Commercial Space Transportation, published in the Federal Register on January 10, 2001 (66 FR 2176). That rule amends the procedures for assessment and adjudication of civil penalties in space transportation enforcement actions.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the final rule amending 14 CFR part 405 and revising 14 CFR part 406 published in the Federal Register on January 10, 2001, at 66 FR 2176, is delayed for 60 days, from February 9, 2001, until April 10, 2001.",66 FR 9509,01-3209,2120-AH18,https://www.federalregister.gov/api/v1/documents/01-3209?publication_date=2001-02-08,https://www.federalregister.gov/documents/full_text/text/2001/02/08/01-3209.txt,https://www.federalregister.gov/documents/2001/02/08/01-3209/civil-penalty-actions-in-commercial-space-transportation-delay-of-effective-date,george-w-bush,2001-02-08 00:00:00 UTC,2001,2,1,1
2001-02-07,2001-01-08,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Highway Administration', 'name': 'Federal Highway Administration', 'id': 170, 'url': 'https://www.federalregister.gov/agencies/federal-highway-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/170', 'parent_id': 492, 'slug': 'federal-highway-administration'}]","Transportation Department, Federal Highway Administration",Intelligent Transportation System Architecture and Standards: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Intelligent Transportation System Architecture and Standards, published in the Federal Register on January 8, 2001, 66 FR 1446. The rule concerns Intelligent Transportation System (ITS) projects carried out using funds made available from the Highway Trust Fund. This rule requires regions which have implemented ITS or are planning ITS implementations to develop a regional ITS architecture, based on the National ITS Architecture, to guide their implementation.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the Intelligent Transportation System Architecture and Standards rule, published in the Federal Register on January 8, 2001, at 66 FR 1446, is delayed for 60 days, from February 7, 2001, to a new effective date of April 8, 2001.",66 FR 9198,01-3206,2125-AE65,https://www.federalregister.gov/api/v1/documents/01-3206?publication_date=2001-02-07,https://www.federalregister.gov/documents/full_text/text/2001/02/07/01-3206.txt,https://www.federalregister.gov/documents/2001/02/07/01-3206/intelligent-transportation-system-architecture-and-standards-delay-of-effective-date,george-w-bush,2001-02-07 00:00:00 UTC,2001,2,1,1
