index,publication_date,effective_on,agencies,agency_names,title,abstract,action,type,president,dates,citation,document_number,regulation_id_numbers,json_url,raw_text_url,html_url,president_id,publication_dt,publication_year,publication_month,susp
0,2001-01-26,2000-12-28,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Immigration and Naturalization Service', 'name': 'Immigration and Naturalization Service', 'id': 232, 'url': 'https://www.federalregister.gov/agencies/immigration-and-naturalization-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/232', 'parent_id': 268, 'slug': 'immigration-and-naturalization-service'}]","Justice Department, Immigration and Naturalization Service",Clarification of Parole Authority; Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from Andrew H. Card, Jr., the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan'' (memorandum), this rule temporarily delays for 60 days the effective date of the interim rule entitled ``Clarification of Parole Authority,'' published in the Federal Register on December 28, 2000, at 65 FR 82254. This temporary delay will allow the Department an opportunity for further consideration of this rule.",Interim rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the interim rule amending 8 CFR Parts 103, 208, 210, 212,235, 241, and 245a published at 65 FR 82254, December 28, 2000, is delayed until March 30, 2001.",66 FR 7863,01-2411,1115-AF53,https://www.federalregister.gov/api/v1/documents/01-2411?publication_date=2001-01-26,https://www.federalregister.gov/documents/full_text/text/2001/01/26/01-2411.txt,https://www.federalregister.gov/documents/2001/01/26/01-2411/clarification-of-parole-authority-delay-of-effective-date,george-w-bush,2001-01-26 00:00:00 UTC,2001,1,1.0
1,2001-01-26,2000-12-28,"[{'raw_name': 'DEPARTMENT OF JUSTICE', 'name': 'Justice Department', 'id': 268, 'url': 'https://www.federalregister.gov/agencies/justice-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/268', 'parent_id': None, 'slug': 'justice-department'}, {'raw_name': 'Immigration and Naturalization Service', 'name': 'Immigration and Naturalization Service', 'id': 232, 'url': 'https://www.federalregister.gov/agencies/immigration-and-naturalization-service', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/232', 'parent_id': 268, 'slug': 'immigration-and-naturalization-service'}]","Justice Department, Immigration and Naturalization Service","Temporary Protected Status: Amendments to the Requirements for Employment Authorization Fee, and Other Technical Amendments; Delay of Effective Date","In accordance with the memorandum of January 20, 2001, from Andrew H. Card, Jr., the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan'' (memorandum), this rule temporarily delays for 60 days the effective date of the final rule entitled ``Temporary Protected Status: Amendments to the Requirements for Employment Authorization Fee, and Other Technical Amendments,'' published in the Federal Register on December 28, 2000, at 65 FR 82256. This temporary delay will allow the Department an opportunity for further consideration of this rule.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the final rule published at 65 FR 82256, December 28, 2000, adopting an interim rule that amended 8 CFR Part 244, is delayed until March 30, 2001.",66 FR 7863,01-2412,1115-AF01,https://www.federalregister.gov/api/v1/documents/01-2412?publication_date=2001-01-26,https://www.federalregister.gov/documents/full_text/text/2001/01/26/01-2412.txt,https://www.federalregister.gov/documents/2001/01/26/01-2412/temporary-protected-status-amendments-to-the-requirements-for-employment-authorization-fee-and-other,george-w-bush,2001-01-26 00:00:00 UTC,2001,1,1.0
2,2001-01-26,2000-01-26,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Food and Drug Administration', 'name': 'Food and Drug Administration', 'id': 199, 'url': 'https://www.federalregister.gov/agencies/food-and-drug-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/199', 'parent_id': 221, 'slug': 'food-and-drug-administration'}]","Health and Human Services Department, Food and Drug Administration",Aluminum in Large and Small Volume Parenterals Used in Total Parenteral Nutrition; Delay of Effective Date,"The Food and Drug Administration (FDA) is delaying until January 26, 2003, the effective date of a final rule published in the Federal Register of January 26, 2000 (65 FR 4103), and originally scheduled to become effective on January 26, 2001. The final rule amends FDA's regulations to add certain labeling requirements for aluminum content in large volume parenterals (LVP's), small volume parenterals (SVP's), and pharmacy bulk packages (PBP's) used in total parenteral nutrition (TPN). The rule also specifies an upper limit of aluminum permitted in LVP's and requires applicants to submit to FDA validated assay methods for determining aluminum content in parenteral drug products. FDA is delaying the effective date of this rule to address concerns raised by affected parties about the possible inability to meet the requirements of the rule by the current effective date.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date for Sec. 201.323 (21 CFR 201.323), added at 65 FR 4103, January 26, 2000, is delayed until January 26, 2003. Submit written comments by April 26, 2001.",66 FR 7864,01-2125,0910-AA74,https://www.federalregister.gov/api/v1/documents/01-2125?publication_date=2001-01-26,https://www.federalregister.gov/documents/full_text/text/2001/01/26/01-2125.txt,https://www.federalregister.gov/documents/2001/01/26/01-2125/aluminum-in-large-and-small-volume-parenterals-used-in-total-parenteral-nutrition-delay-of-effective,george-w-bush,2001-01-26 00:00:00 UTC,2001,1,1.0
3,2001-01-26,2001-01-26,"[{'raw_name': 'DEPARTMENT OF HEALTH AND HUMAN SERVICES', 'name': 'Health and Human Services Department', 'id': 221, 'url': 'https://www.federalregister.gov/agencies/health-and-human-services-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/221', 'parent_id': None, 'slug': 'health-and-human-services-department'}, {'raw_name': 'Office of Child Support Enforcement', 'name': 'Child Support Enforcement Office', 'id': 48, 'url': 'https://www.federalregister.gov/agencies/child-support-enforcement-office', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/48', 'parent_id': 221, 'slug': 'child-support-enforcement-office'}]","Health and Human Services Department, Child Support Enforcement Office",National Medical Support Notice; Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled ``National Medical Support Notice'', published in the Federal Register on December 27, 2000 (65 FR 82154). That rule concerns a statutory obligation that the secretary of health and human services require in regulation that state child- support enforcement agenceis use a standard form--entitled the National Medical Support Notice--to notify employers of the terms of a non- custodial parent's obligations regarding health insurance coverage under a child support agreement. To the extent that 5 U.S.C. section 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. section 553(b)(A). Alternatively, the Department's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b)(B) and 553(d)(3), in that seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. In addition, allowing the rule to become effective before the temporary suspension date could create confusion among State agencies, employees, and Plan administrators regarding the qualified status of National Medical Support Notices that may be issued by some states before and during the suspension period.",Final rule; Delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of National Medical Support Notice, published in the Federal Register on December 27 (FR 65 82154) is delayed for 60 days, from January 26, 2001 to a new effective date of March 27, 2001.",66 FR 8073,01-2580,0970-AB97,https://www.federalregister.gov/api/v1/documents/01-2580?publication_date=2001-01-26,https://www.federalregister.gov/documents/full_text/text/2001/01/26/01-2580.txt,https://www.federalregister.gov/documents/2001/01/26/01-2580/national-medical-support-notice-delay-of-effective-date,george-w-bush,2001-01-26 00:00:00 UTC,2001,1,1.0
4,2001-01-26,2000-12-27,"[{'raw_name': 'DEPARTMENT OF LABOR', 'name': 'Labor Department', 'id': 271, 'url': 'https://www.federalregister.gov/agencies/labor-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/271', 'parent_id': None, 'slug': 'labor-department'}, {'raw_name': 'Pension and Welfare Benefits Administration', 'name': 'Pension and Welfare Benefits Administration', 'id': 404, 'url': 'https://www.federalregister.gov/agencies/pension-and-welfare-benefits-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/404', 'parent_id': 271, 'slug': 'pension-and-welfare-benefits-administration'}]","Labor Department, Pension and Welfare Benefits Administration",National Medical Support Notice: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled National Medical Support Notice, published in the Federal Register on December 27, 2000, 65 FR 82128. That rule promulgates a notice to be issued by State Agencies as a means to enforce health care coverage provisions in a child support order and to be treated by administrators of group health plans as a qualified medical child support order under section 609(a) of the Employee Retirement Income Security Act (ERISA). To the extent that 5 U.S.C. section 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. section 553(b)(A). Alternatively, the Department's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. section 553(b)(B) and 553(d)(3), in that seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Department officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations. In addition, allowing the rule to become effective before the temporary suspension could create confusion among State agencies, employers and plan administrators regarding the qualified status of child support orders issued before and during the suspension period.",Final rule; Delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the National Medical Support Notice, published in the Federal Register on December 27, 2000, at 65 FR 82128, is delayed for 60 days, from January 26, 2001 to a new effective date of March 27, 2001.",66 FR 8075,01-2581,1210-AA72,https://www.federalregister.gov/api/v1/documents/01-2581?publication_date=2001-01-26,https://www.federalregister.gov/documents/full_text/text/2001/01/26/01-2581.txt,https://www.federalregister.gov/documents/2001/01/26/01-2581/national-medical-support-notice-delay-of-effective-date,george-w-bush,2001-01-26 00:00:00 UTC,2001,1,1.0
5,2001-01-29,2001-12-29,"[{'raw_name': 'DEPARTMENT OF TRANSPORTATION', 'name': 'Transportation Department', 'id': 492, 'url': 'https://www.federalregister.gov/agencies/transportation-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/492', 'parent_id': None, 'slug': 'transportation-department'}, {'raw_name': 'Federal Highway Administration', 'name': 'Federal Highway Administration', 'id': 170, 'url': 'https://www.federalregister.gov/agencies/federal-highway-administration', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/170', 'parent_id': 492, 'slug': 'federal-highway-administration'}]","Transportation Department, Federal Highway Administration",Mitigation of Impacts to Wetlands and Natural Habitat,"The Federal Highway Administration (FHWA) is delaying the effective date of the final rule it published on December 29, 2000 (65 FR 82913), concerning the mitigation of impacts to wetlands and natural habitat. The original effective date of this final rule was January 29, 2001. The new effective date of this rule is March 30, 2001. The delayed effective date will provide the Administration an opportunity to review this final rule.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the rule amending 23 CFR part 777 published at 65 FR 82913, December 29, 2001, is delayed from January 29, 2001 until March 30, 2001.",66 FR 8089,01-2534,2125-AD78,https://www.federalregister.gov/api/v1/documents/01-2534?publication_date=2001-01-29,https://www.federalregister.gov/documents/full_text/text/2001/01/29/01-2534.txt,https://www.federalregister.gov/documents/2001/01/29/01-2534/mitigation-of-impacts-to-wetlands-and-natural-habitat,george-w-bush,2001-01-29 00:00:00 UTC,2001,1,1.0
6,2001-01-29,2000-11-29,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",Environmental Protection Agency,Petition by American Samoa for Exemption From Anti-Dumping Requirements for Conventional Gasoline: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Petition by American Samoa for Exemption from Anti-Dumping Requirements for Conventional Gasoline, published in the Federal Register on November 29, 2000, 65 FR 71067. That rule grants a petition by the Territory of American Samoa for exemption from the Clean Air Act's anti-dumping requirements for gasoline sold in the United States after January 1, 1995. To the extent that 5 U.S.C. 553 or 42 U.S.C. 7607(d) applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. 553(b)(A). Alternatively, the Agency's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. 553(b)(B) and 553(d)(3), in that seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Agency officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the rule titled Petition by American Samoa for Exemption from Anti-Dumping Requirements for Conventional Gasoline, published in the Federal Register on November 29, 2000, at 65 FR 71067, is delayed for 60 days, from January 29, 2001 to a new effective date of March 30, 2001.",66 FR 8089,01-2559,2060-AI60,https://www.federalregister.gov/api/v1/documents/01-2559?publication_date=2001-01-29,https://www.federalregister.gov/documents/full_text/text/2001/01/29/01-2559.txt,https://www.federalregister.gov/documents/2001/01/29/01-2559/petition-by-american-samoa-for-exemption-from-anti-dumping-requirements-for-conventional-gasoline,george-w-bush,2001-01-29 00:00:00 UTC,2001,1,1.0
7,2001-01-29,2000-11-28,"[{'raw_name': 'ENVIRONMENTAL PROTECTION AGENCY', 'name': 'Environmental Protection Agency', 'id': 145, 'url': 'https://www.federalregister.gov/agencies/environmental-protection-agency', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/145', 'parent_id': None, 'slug': 'environmental-protection-agency'}]",Environmental Protection Agency,Georgia: Final Authorization of State Hazardous Waste Management Program Revision: Delay of Effective Date,"In accordance with the memorandum of January 20, 2001, from the Assistant to the President and Chief of Staff, entitled ``Regulatory Review Plan,'' published in the Federal Register on January 24, 2001, this action temporarily delays for 60 days the effective date of the rule entitled Georgia: Final Authorization of State Hazardous Waste Management Program Revision, published in the Federal Register on November 28, 2000, 65 FR 70804. Georgia has applied to the Environmental Protection Agency (EPA or the Agency) for final authorization of the changes to its hazardous waste program under the Resource Conservation and Recovery Act (RCRA). EPA has determined that these changes satisfy all requirements needed to qualify for final authorization, and that rule authorizes the State's changes. To the extent that 5 U.S.C. 553 applies to this action, it is exempt from notice and comment because it constitutes a rule of procedure under 5 U.S.C. 553(b)(A). Alternatively, the Agency's implementation of this rule without opportunity for public comment, effective immediately upon publication today in the Federal Register, is based on the good cause exceptions in 5 U.S.C. 553(b)(B) and 553(d)(3), in that seeking public comment is impracticable, unnecessary and contrary to the public interest. The temporary 60-day delay in effective date is necessary to give Agency officials the opportunity for further review and consideration of new regulations, consistent with the Assistant to the President's memorandum of January 20, 2001. Given the imminence of the effective date, seeking prior public comment on this temporary delay would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the rule titled Georgia: Final Authorization of State Hazardous Waste Management Program Revision, published in the Federal Register on November 28, 2000, at 65 FR 70804, is delayed for 60 days, from January 29, 2001 to a new effective date of March 30, 2001.",66 FR 8090,01-2560,,https://www.federalregister.gov/api/v1/documents/01-2560?publication_date=2001-01-29,https://www.federalregister.gov/documents/full_text/text/2001/01/29/01-2560.txt,https://www.federalregister.gov/documents/2001/01/29/01-2560/georgia-final-authorization-of-state-hazardous-waste-management-program-revision-delay-of-effective,george-w-bush,2001-01-29 00:00:00 UTC,2001,1,1.0
8,2001-01-30,2001-02-20,"[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]",Housing and Urban Development Department,Determining Adjusted Income in HUD Programs Serving Persons With Disabilities: Requiring Mandatory Deductions for Certain Expenses; and Disallowance for Earned Income; Delay of Effective Date,"This document advises the public that the final rule published on January 19, 2001, which amends HUD's regulations in part 5, subpart F, to include additional HUD programs in the list of programs that must make certain deductions in calculating a family's adjusted income, will take effect on April 20, 2001. As provided in the ``Supplementary Information'' section of this final rule, this delay in the effective date is made in response to a White House memorandum of January 20, 2001. Given the imminence of the effective date of this rule, seeking prior public comment in accordance with HUD's regulations on rulemaking would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the final rule amending 24 CFR parts 5, 92, 200, 236, 574, 582, 583, 891, and 982, published at 66 FR 6218 (January 19, 2001) is delayed from February 20, 2001 until April 20, 2001.",66 FR 8174,01-2563,2501-AC72,https://www.federalregister.gov/api/v1/documents/01-2563?publication_date=2001-01-30,https://www.federalregister.gov/documents/full_text/text/2001/01/30/01-2563.txt,https://www.federalregister.gov/documents/2001/01/30/01-2563/determining-adjusted-income-in-hud-programs-serving-persons-with-disabilities-requiring-mandatory,george-w-bush,2001-01-30 00:00:00 UTC,2001,1,1.0
9,2001-01-30,2001-02-21,"[{'raw_name': 'DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT', 'name': 'Housing and Urban Development Department', 'id': 228, 'url': 'https://www.federalregister.gov/agencies/housing-and-urban-development-department', 'json_url': 'https://www.federalregister.gov/api/v1/agencies/228', 'parent_id': None, 'slug': 'housing-and-urban-development-department'}]",Housing and Urban Development Department,Revision of Freedom of Information Act Regulations; Delay of Effective Date,"This document advises the public that the final rule published on January 22, 2001, which amends HUD's Freedom of Information Act (FOIA) regulations, will take effect on April 23, 2001. As provided in the SUPPLEMENTARY INFORMATION section of this final rule, this delay in the effective date is made in response to a White House memorandum of January 20, 2001. Given the imminence of the effective date of this rule, seeking prior public comment in accordance with HUD's regulations on rulemaking would have been impractical, as well as contrary to the public interest in the orderly promulgation and implementation of regulations.",Final rule; delay of effective date.,Rule,"{'name': 'George W. Bush', 'identifier': 'george-w-bush'}","The effective date of the final rule amending 24 CFR part 15 published at 66 FR 6964 (January 22, 2001) is delayed from February 21, 2001 until April 23, 2001.",66 FR 8175,01-2564,2501-AC51,https://www.federalregister.gov/api/v1/documents/01-2564?publication_date=2001-01-30,https://www.federalregister.gov/documents/full_text/text/2001/01/30/01-2564.txt,https://www.federalregister.gov/documents/2001/01/30/01-2564/revision-of-freedom-of-information-act-regulations-delay-of-effective-date,george-w-bush,2001-01-30 00:00:00 UTC,2001,1,1.0
